,温度(室外),湿度(室外),气压(室外),湿度(室内),气压(室内),temperature
221,12.6,90.0,993.0,84.0,991.3,13.7
222,12.6,90.0,993.0,84.0,991.3,13.6
223,12.5,91.0,993.7,84.0,991.3,13.6
224,12.5,91.0,993.5,84.0,991.4,13.6
225,12.5,91.0,994.0,84.0,991.4,13.6
226,12.5,91.0,994.3,84.0,991.6,13.6
227,12.5,91.0,993.5,84.0,991.8,13.6
228,12.5,91.0,993.5,84.0,991.7,13.5
229,12.5,91.0,993.5,84.0,992.0,13.5
230,12.5,91.0,993.5,84.0,992.0,13.5
231,12.5,91.0,993.5,84.0,991.9,13.5
232,12.5,91.0,993.5,84.0,992.2,13.5
233,12.5,91.0,993.5,84.0,992.2,13.6
234,12.5,91.0,993.5,85.0,992.2,13.6
235,12.5,91.0,993.5,85.0,992.2,13.5
236,12.5,91.0,993.5,85.0,992.4,13.6
237,12.5,91.0,993.5,85.0,992.2,13.5
238,12.5,91.0,993.5,85.0,992.2,13.5
239,12.5,91.0,993.5,85.0,992.5,13.5
240,12.5,91.0,993.5,85.0,992.6,13.4
241,12.5,91.0,993.5,85.0,992.6,13.4
242,12.5,91.0,993.5,85.0,992.6,13.4
243,12.5,91.0,993.5,85.0,992.9,13.5
244,12.5,91.0,993.5,85.0,992.4,13.4
245,12.5,91.0,993.5,85.0,992.7,13.5
246,12.5,91.0,993.5,85.0,992.7,13.5
247,12.5,91.0,993.5,85.0,992.7,13.5
248,12.5,91.0,993.5,85.0,992.7,13.4
249,12.5,91.0,993.5,85.0,992.8,13.4
250,12.5,91.0,993.5,85.0,992.8,13.4
251,12.5,91.0,993.5,85.0,992.8,13.4
252,12.5,91.0,993.5,85.0,992.8,13.3
253,12.5,91.0,993.5,85.0,992.8,13.4
254,12.5,91.0,993.5,85.0,992.9,13.4
255,12.5,91.0,993.5,85.0,993.1,13.4
256,12.5,91.0,993.5,85.0,993.1,13.5
257,12.5,91.0,993.5,85.0,992.8,13.5
258,12.4,92.0,993.5,85.0,992.8,13.5
259,12.3,92.0,993.0,85.0,992.8,13.4
260,12.2,92.0,993.3,85.0,993.1,13.4
261,12.2,92.0,993.0,85.0,992.9,13.4
262,12.2,92.0,993.6,85.0,992.9,13.4
263,12.3,92.0,993.4,85.0,992.9,13.4
264,12.3,93.0,993.4,85.0,993.0,13.4
265,12.3,92.0,994.1,85.0,993.0,13.4
266,12.3,93.0,993.5,85.0,993.0,13.4
267,12.3,93.0,993.5,85.0,993.2,13.4
268,12.3,93.0,993.4,85.0,993.0,13.5
269,12.2,93.0,993.7,85.0,993.2,13.5
270,12.3,93.0,994.0,85.0,993.1,13.5
271,12.3,93.0,993.5,85.0,993.0,13.5
272,12.3,93.0,993.5,85.0,993.2,13.5
273,12.3,92.0,993.7,85.0,991.3,13.4
274,12.2,93.0,993.5,85.0,993.2,13.4
275,12.2,93.0,993.9,85.0,991.3,13.4
276,12.2,93.0,993.7,85.0,991.3,13.4
277,12.2,93.0,994.3,85.0,991.5,13.3
278,12.2,93.0,994.1,85.0,991.6,13.3
279,12.2,93.0,993.9,85.0,991.6,13.4
280,12.2,93.0,992.1,86.0,991.6,13.4
281,12.2,93.0,994.2,86.0,991.8,13.3
282,12.2,93.0,992.5,86.0,991.7,13.3
283,12.2,93.0,992.3,86.0,991.7,13.3
284,12.2,93.0,994.0,86.0,991.7,13.4
285,12.3,93.0,993.9,86.0,991.7,13.3
286,12.2,93.0,993.7,86.0,991.9,13.3
287,12.2,93.0,993.9,86.0,991.5,13.3
288,12.2,93.0,993.9,86.0,991.9,13.3
289,12.2,93.0,993.9,86.0,991.8,13.3
290,12.2,93.0,994.0,86.0,991.8,13.3
291,12.2,93.0,993.8,86.0,991.8,13.3
292,12.2,93.0,994.2,86.0,991.8,13.3
293,12.2,93.0,994.2,86.0,992.0,13.3
294,12.2,93.0,992.1,86.0,992.0,13.3
295,12.2,93.0,993.6,86.0,992.0,13.3
296,12.3,93.0,993.9,86.0,991.8,13.3
297,12.3,93.0,994.3,86.0,991.8,13.3
298,12.3,93.0,993.9,86.0,991.8,13.4
299,12.3,93.0,994.3,86.0,992.0,13.3
300,12.3,93.0,994.1,86.0,991.8,13.4
301,12.3,93.0,993.4,86.0,991.8,13.4
302,12.3,93.0,993.6,86.0,991.8,13.4
303,12.3,93.0,993.7,86.0,991.8,13.4
304,12.3,93.0,994.0,86.0,991.7,13.4
305,12.3,93.0,993.8,86.0,991.7,13.4
306,12.3,93.0,993.5,86.0,991.5,13.4
307,12.3,93.0,993.3,86.0,991.7,13.4
308,12.2,93.0,993.7,86.0,991.8,13.4
309,12.2,93.0,993.5,86.0,992.0,13.3
310,12.2,93.0,993.5,86.0,992.0,13.4
311,12.2,93.0,993.5,86.0,991.9,13.4
312,12.2,93.0,993.5,86.0,991.9,13.4
313,12.2,93.0,993.5,86.0,991.8,13.4
314,12.2,93.0,993.5,86.0,991.8,13.4
315,12.2,93.0,993.5,86.0,991.7,13.4
316,12.2,93.0,993.5,86.0,991.6,13.4
317,12.2,93.0,993.5,86.0,992.1,13.4
318,12.3,93.0,994.0,86.0,991.9,13.4
319,12.2,93.0,993.7,86.0,991.7,13.4
320,12.2,93.0,993.8,86.0,991.9,13.4
321,12.2,93.0,993.5,86.0,992.1,13.4
322,12.3,93.0,993.8,86.0,992.1,13.4
323,12.3,93.0,994.0,86.0,992.1,13.4
324,12.3,93.0,994.0,86.0,992.1,13.4
325,12.3,93.0,994.2,86.0,991.9,13.4
326,12.3,93.0,993.9,86.0,992.1,13.4
327,12.3,93.0,993.7,86.0,992.1,13.4
328,12.3,93.0,993.6,86.0,991.9,13.4
329,12.4,93.0,993.8,86.0,992.1,13.5
330,12.4,93.0,993.6,86.0,991.8,13.4
331,12.5,93.0,993.3,87.0,991.8,13.4
332,12.5,93.0,993.1,87.0,991.6,13.4
333,12.5,93.0,992.9,87.0,991.6,13.4
334,12.5,93.0,992.5,87.0,991.8,13.4
335,12.5,93.0,992.6,87.0,992.0,13.4
336,12.5,93.0,992.9,87.0,991.6,13.4
337,12.5,93.0,992.7,87.0,991.8,13.5
338,12.6,93.0,992.7,87.0,991.7,13.5
339,12.6,93.0,992.2,87.0,993.4,13.5
340,12.7,93.0,994.5,87.0,993.4,13.5
341,12.6,93.0,994.0,87.0,993.4,13.5
342,12.6,93.0,993.8,87.0,993.4,13.4
343,12.6,92.0,993.9,87.0,993.4,13.4
344,12.6,92.0,993.4,87.0,993.6,13.4
345,12.5,92.0,994.0,87.0,993.6,13.4
346,12.6,92.0,993.7,87.0,993.4,13.4
347,12.6,92.0,993.7,87.0,991.7,13.4
348,12.6,92.0,993.4,87.0,991.7,13.4
349,12.6,92.0,993.7,87.0,993.6,13.4
350,12.7,92.0,975.5,87.0,991.7,13.4
351,12.7,91.0,994.0,87.0,993.6,13.4
352,12.7,91.0,993.1,87.0,993.6,13.5
353,12.7,91.0,993.0,87.0,991.7,13.5
354,12.7,91.0,993.2,87.0,993.6,13.5
355,12.7,91.0,993.6,87.0,993.5,13.5
356,12.7,91.0,993.2,87.0,993.4,13.5
357,12.8,91.0,993.1,87.0,993.3,13.5
358,12.8,91.0,993.0,87.0,993.2,13.5
359,12.8,91.0,993.2,87.0,993.3,13.5
360,12.8,91.0,993.5,87.0,993.3,13.5
361,12.7,91.0,993.1,87.0,993.7,13.5
362,12.8,91.0,975.1,87.0,993.5,13.5
363,12.8,91.0,993.0,87.0,993.3,13.5
364,12.8,91.0,993.1,87.0,993.3,13.5
365,12.8,91.0,975.2,87.0,993.5,13.5
366,12.8,91.0,992.8,87.0,993.4,13.5
367,12.8,91.0,992.3,86.0,993.5,13.5
368,12.8,91.0,992.6,86.0,993.5,13.5
369,12.8,91.0,992.7,86.0,993.4,13.5
370,12.8,91.0,994.3,86.0,993.7,13.5
371,12.8,91.0,994.6,86.0,993.5,13.5
372,12.9,91.0,992.5,86.0,993.5,13.5
373,12.9,91.0,994.3,87.0,993.3,13.5
374,12.9,91.0,994.6,87.0,993.5,13.4
375,12.9,91.0,993.9,87.0,993.5,13.4
376,12.9,91.0,994.4,87.0,993.3,13.5
377,12.9,91.0,994.2,87.0,993.4,13.5
378,12.9,91.0,994.1,87.0,993.5,13.5
379,12.9,91.0,994.1,87.0,993.5,13.5
380,12.9,91.0,994.1,87.0,993.4,13.5
381,12.8,91.0,994.3,87.0,993.4,13.5
382,12.8,91.0,994.2,87.0,993.5,13.5
383,12.8,91.0,994.4,87.0,993.5,13.5
384,12.8,91.0,994.2,87.0,993.7,13.5
385,12.8,91.0,976.8,87.0,993.7,13.5
386,12.8,91.0,994.6,87.0,993.7,13.5
387,12.9,91.0,994.6,87.0,993.7,13.6
388,13.0,90.0,994.1,87.0,993.6,13.6
389,13.0,90.0,993.7,87.0,993.3,13.6
390,13.0,90.0,994.0,87.0,993.3,13.6
391,13.0,90.0,993.9,87.0,993.5,13.6
392,13.0,90.0,993.8,86.0,993.5,13.6
393,12.9,90.0,993.7,86.0,993.5,13.6
394,12.8,91.0,993.9,86.0,993.5,13.6
395,12.7,91.0,994.9,86.0,993.5,13.6
396,12.7,91.0,994.3,86.0,993.4,13.6
397,12.7,91.0,994.5,86.0,993.2,13.7
398,12.7,91.0,994.7,86.0,993.4,13.6
399,12.7,91.0,992.9,86.0,993.6,13.6
400,12.7,92.0,993.4,86.0,993.6,13.6
401,12.6,92.0,993.3,86.0,993.6,13.6
402,12.6,92.0,993.5,86.0,993.4,13.6
403,12.7,92.0,993.5,86.0,993.5,13.6
404,12.7,92.0,993.0,86.0,993.5,13.6
405,12.7,92.0,993.4,86.0,993.5,13.6
406,12.7,92.0,993.4,86.0,993.6,13.7
407,12.7,92.0,993.4,86.0,993.6,13.6
408,12.7,92.0,993.4,86.0,993.6,13.6
409,12.7,92.0,993.4,86.0,993.6,13.6
410,12.7,92.0,993.4,86.0,993.4,13.6
411,12.7,92.0,993.4,86.0,993.4,13.6
412,12.7,92.0,993.4,86.0,993.5,13.7
413,13.0,91.0,993.9,86.0,993.3,13.7
414,13.0,90.0,994.2,86.0,993.3,13.7
415,13.0,90.0,994.0,86.0,993.1,13.7
416,13.1,91.0,993.8,86.0,993.2,13.7
417,13.1,90.0,994.0,86.0,993.2,13.7
418,13.1,90.0,993.9,86.0,993.2,13.7
419,13.1,90.0,993.5,86.0,993.2,13.6
420,13.2,90.0,993.6,86.0,993.0,13.7
421,13.2,90.0,992.4,86.0,993.2,13.7
422,13.2,90.0,993.2,86.0,993.4,13.7
423,13.2,90.0,977.3,86.0,993.1,13.6
424,13.2,90.0,995.3,86.0,993.4,13.6
425,13.2,90.0,995.3,86.0,993.4,13.6
426,13.1,91.0,994.8,86.0,993.2,13.6
427,13.1,91.0,994.5,86.0,993.4,13.6
428,13.1,91.0,994.8,86.0,993.3,13.6
429,13.0,91.0,995.4,86.0,993.3,13.6
430,13.0,91.0,992.7,86.0,993.4,13.6
431,13.0,91.0,993.4,86.0,993.4,13.6
432,13.0,91.0,993.1,87.0,993.4,13.6
433,13.0,91.0,977.7,87.0,993.5,13.5
434,13.0,91.0,995.5,87.0,993.4,13.5
435,13.0,92.0,993.4,87.0,993.4,13.6
436,13.0,92.0,993.3,87.0,993.4,13.6
437,13.0,91.0,993.8,87.0,993.6,13.6
438,13.0,92.0,993.4,87.0,993.6,13.6
439,13.0,92.0,993.3,87.0,993.4,13.6
440,13.0,92.0,993.8,87.0,993.6,13.6
441,13.0,92.0,993.9,87.0,993.6,13.6
442,13.0,92.0,993.7,87.0,993.6,13.6
443,13.0,92.0,993.6,87.0,993.4,13.5
444,13.0,91.0,993.8,87.0,993.4,13.6
445,13.1,91.0,993.5,87.0,993.6,13.6
446,13.0,91.0,993.2,87.0,993.4,13.6
447,13.0,91.0,993.6,87.0,993.6,13.6
448,13.1,92.0,993.8,87.0,993.6,13.6
449,13.1,91.0,993.7,87.0,993.5,13.7
450,13.1,91.0,993.4,87.0,993.7,13.7
451,13.1,91.0,995.5,87.0,993.5,13.7
452,13.1,91.0,995.4,87.0,993.7,13.7
453,13.1,91.0,995.3,87.0,993.4,13.6
454,13.1,91.0,993.6,87.0,993.6,13.6
455,13.1,91.0,995.4,87.0,993.6,13.6
456,13.1,91.0,995.4,87.0,993.6,13.6
457,13.1,91.0,995.5,87.0,993.4,13.5
458,13.1,92.0,995.1,87.0,993.4,13.5
459,13.2,91.0,995.5,87.0,993.6,13.6
460,13.2,91.0,995.2,87.0,993.7,13.6
461,13.2,91.0,995.6,87.0,993.7,13.6
462,13.2,91.0,995.1,87.0,993.5,13.6
463,13.2,91.0,994.9,87.0,993.4,13.6
464,13.2,91.0,995.2,87.0,993.4,13.6
465,13.3,91.0,995.3,87.0,993.6,13.6
466,13.3,90.0,994.6,87.0,993.6,13.6
467,13.2,90.0,994.9,87.0,993.6,13.6
468,13.3,90.0,995.1,87.0,993.6,13.7
469,13.3,90.0,995.1,87.0,993.6,13.7
470,13.2,91.0,994.5,87.0,993.6,13.7
471,13.2,90.0,994.9,87.0,993.3,13.6
472,13.3,90.0,994.9,87.0,993.6,13.7
473,13.3,90.0,994.9,87.0,993.3,13.7
474,13.3,90.0,994.7,87.0,993.3,13.7
475,13.3,90.0,978.9,87.0,993.5,13.7
476,13.3,90.0,994.7,87.0,993.3,13.7
477,13.4,90.0,994.2,87.0,993.5,13.7
478,13.4,90.0,994.2,87.0,993.2,13.7
479,13.4,90.0,994.6,87.0,993.2,13.8
480,13.4,90.0,978.8,87.0,993.2,13.8
481,13.4,89.0,994.2,87.0,993.2,13.8
482,13.4,89.0,994.3,87.0,993.1,13.8
483,13.4,89.0,994.3,87.0,993.3,13.8
484,13.5,89.0,994.3,87.0,993.0,13.8
485,13.5,89.0,994.3,87.0,993.1,13.8
486,13.5,89.0,995.5,87.0,994.9,13.9
487,13.5,89.0,993.8,87.0,993.0,13.8
488,13.5,89.0,995.5,87.0,994.9,13.8
489,13.5,89.0,979.8,87.0,994.9,13.8
490,13.5,89.0,995.6,87.0,994.9,13.8
491,13.6,89.0,995.5,86.0,995.1,13.8
492,13.6,89.0,993.9,86.0,994.9,13.8
493,13.6,89.0,995.7,86.0,994.9,13.9
494,13.6,88.0,995.6,86.0,995.0,13.9
495,13.5,88.0,995.0,86.0,995.0,13.9
496,13.5,87.0,995.8,86.0,995.0,13.9
497,13.5,87.0,995.7,86.0,995.0,13.9
498,13.5,87.0,995.4,86.0,994.9,13.9
499,13.5,87.0,995.4,86.0,994.7,13.9
500,13.5,86.0,996.0,86.0,994.9,14.0
501,13.5,87.0,995.8,86.0,994.9,14.0
502,13.5,87.0,995.8,86.0,994.7,13.9
503,13.5,87.0,995.8,86.0,994.7,13.9
504,13.5,87.0,995.8,86.0,994.7,13.9
505,13.5,87.0,995.8,86.0,994.7,13.9
506,13.5,87.0,995.8,86.0,994.9,14.0
507,13.5,87.0,995.8,85.0,994.6,14.0
508,13.5,87.0,995.8,85.0,994.6,13.9
509,13.2,85.0,994.1,84.0,994.8,13.9
510,13.2,85.0,994.8,84.0,994.8,13.9
511,13.2,85.0,995.0,84.0,994.6,14.0
512,13.3,85.0,994.9,83.0,994.6,14.0
513,13.2,85.0,995.4,83.0,994.5,13.9
514,13.2,85.0,994.9,83.0,994.6,13.9
515,13.2,85.0,979.5,83.0,994.8,13.9
516,13.1,85.0,995.7,83.0,994.6,14.0
517,13.2,86.0,995.5,82.0,994.7,14.0
518,13.1,86.0,996.0,82.0,994.5,14.0
519,13.2,86.0,995.6,82.0,994.7,14.0
520,13.2,86.0,995.8,82.0,994.7,13.9
521,13.3,86.0,995.6,82.0,994.7,13.8
522,13.3,86.0,995.6,82.0,994.5,13.8
523,13.3,86.0,995.2,82.0,994.7,13.7
524,13.3,86.0,995.7,83.0,994.8,13.7
525,13.2,86.0,995.4,83.0,995.0,13.8
526,13.1,86.0,980.0,83.0,994.8,13.8
527,13.0,87.0,996.0,83.0,994.8,13.8
528,13.0,87.0,995.6,83.0,994.9,13.8
529,12.9,88.0,994.3,83.0,995.1,13.9
530,12.9,88.0,994.8,83.0,994.9,13.9
531,13.0,88.0,994.7,82.0,994.8,13.9
532,12.9,88.0,995.3,82.0,994.8,13.9
533,12.9,88.0,995.0,82.0,994.8,13.9
534,12.9,88.0,994.7,82.0,994.8,14.0
